function	color
Human_Inactive	 #000000
Acetyltransferase	 #000000
Sulfurylase	 #000000
GalNAc6ST	 #2E8B57
GalNAc4ST	 #2E8B57
ATP_Sulfurylase	 #2E8B57
GlcA3ST	 #2E8B57
Gal6ST	 #2E8B57
GlcA_IdoA2ST	 #2E8B57
Gal3ST	 #2E8B57
IdoA2ST	 #2E8B57
CS4ST	 #2E8B57
GlcNAc3ST	 #2E8B57
GlcNAc6ST	 #2E8B57
Transamidase	 #000000
Dioxygenase	 #000000
Kinase	 #000000
Dehydratase	 #000000
Hydroxylase	 #000000
Isomerase	 #000000
GalNAc6S_Sulfatase	 #2E8B57
Gal6S_Sulfatase	 #2E8B57
GlcN6S_Sulfatase	 #2E8B57
GlcNAc6S_Sulfatase	 #2E8B57
IdoA2S_Sulfatase	 #2E8B57
Deacetylase	 #000000
Epimerase	 #000000
Dehydrogenase	 #000000
Phosphatase	 #000000
Phosphoesterase	 #000000
Acetylase	 #000000
Acetylesterase	 #000000
Decarboxylase	 #000000
Synthase	 #000000
α2-3_SialylT	 #A54399
α2-6_SialylT	 #A54399
α2-8_SialylT	 #A54399
β4XylT	 #F47920
Protein_XylT	 #F47920
α3XylT	 #F47920
W_ManT	 #00A651
Dol-P-P_ManT	 #00A651
α4ManT	 #00A651
α2ManT	 #00A651
α3ManT	 #00A651
Cad_ManT	 #00A651
α6ManT	 #00A651
β4ManT	 #00A651
O_ManT	 #00A651
β4GalT	 #FFD400
β3GalT	 #FFD400
Other_GalTs	 #FFD400
α3GalT	 #FFD400
β4GlcNAcT	 #0090BC
β2GlcNAcT	 #0090BC
β6GlcNAcT	 #0090BC
β3GlcNAcT	 #0090BC
α4GlcNAcT	 #0090BC
Other_GlcNAcT	 #0090BC
α6FucosylT	 #ED1C24
Protein_FucosylT	 #ED1C24
α3FucosylT	 #ED1C24
α2FucosylT	 #ED1C24
α4FucosylT	 #ED1C24
α3GalNAcT	 #FFD400
Other_GalNAcT	 #FFD400
β3GalNAcT	 #FFD400
ppGalNAcT	 #FFD400
β4GalNAcT	 #FFD400
β2GalNAcT	 #FFD400
β4GlcAT	 #0090BC
α3GlcAT	 #0090BC
Metabolic_GlcAT	 #0090BC
Other_GlcAT	 #0090BC
β3GlcAT	 #0090BC
GlcT	 #0090BC
Aminotransferase	 #404040
Cytidylyltransferase	 #404040
Acyltransferase	 #404040
GlcNAc_PhosphoT	 #404040
ethanolamine_phosphate_transferase	 #404040
RibitolT	 #404040
Uridylyltransferase	 #404040
Guanylyltransferase	 #404040
Guanyltransferase	 #404040
Oligosaccharyltransferase	 #404040
Intracellular_Lectin	 #00707B
Inhibitor	 #00707B
Cofactor	 #00707B
Enhancer	 #00707B
Glucosidase	 #0090BC
Sialidase	 #A54399
Glucuronidase	 #0090BC
Glucosaminidase	 #0090BC
NAcetylgalactosaminidase	 #000000
Galactosidase	 #FFD400
Mannosidase	 #00A651
NAcetylglucosaminidase	 #0090BC
Iduronidase	 #8b4513
Fucosidase	 #ED1C24
Endoglycosidase	 #0090BC
Putative_or_Inactive	 #000000
Glucose_Transporter	 #0090BC
GDP-Man_Transporter	 #00A651
PAPS_Transporter	 #2E8B57
UDP-Gal_Transporter	 #FFD400
UDP-GalNAc_Transporter	 #FFD400
CMP-Neu5Ac_Transporter	 #A54399
GDP-Fuc_Transporter	 #ED1C24
UDP-GlcNAc_Transporter	 #0090BC
UDP-Xyl_Transporter	 #F47920
UDP-GlcA_Transporter	 #0090BC
UDP-Glc_Transporter	 #0090BC
